2026-02-12 18:13:07 | INFO     | DF | Running on torch 2.2.2
2026-02-12 18:13:07 | INFO     | DF | Running on host sumits-MacBook-Air.local
2026-02-12 18:13:07 | INFO     | DF | Git commit: d375b2d, branch: main
2026-02-12 18:13:07 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-02-12 18:13:07 | INFO     | DF | Initializing model `deepfilternet3`
2026-02-12 18:13:07 | INFO     | DF | Found checkpoint /Users/sumit/Downloads/untitled folder/Main Folder/Sumit /Voice_editor/models/DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2026-02-12 18:13:07 | INFO     | DF | Running on device cpu
2026-02-12 18:13:07 | INFO     | DF | Model loaded
2026-02-12 18:13:52 | INFO     | DF | Running on torch 2.2.2
2026-02-12 18:13:52 | INFO     | DF | Running on host sumits-MacBook-Air.local
2026-02-12 18:13:52 | INFO     | DF | Git commit: d375b2d, branch: main
2026-02-12 18:13:52 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-02-12 18:13:52 | INFO     | DF | Initializing model `deepfilternet3`
2026-02-12 18:13:52 | INFO     | DF | Found checkpoint /Users/sumit/Downloads/untitled folder/Main Folder/Sumit /Voice_editor/models/DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2026-02-12 18:13:52 | INFO     | DF | Running on device cpu
2026-02-12 18:13:52 | INFO     | DF | Model loaded
2026-02-12 18:15:06 | INFO     | DF | Running on torch 2.2.2
2026-02-12 18:15:06 | INFO     | DF | Running on host sumits-MacBook-Air.local
2026-02-12 18:15:06 | INFO     | DF | Git commit: d375b2d, branch: main
2026-02-12 18:15:06 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-02-12 18:15:06 | INFO     | DF | Initializing model `deepfilternet3`
2026-02-12 18:15:06 | INFO     | DF | Found checkpoint /Users/sumit/Downloads/untitled folder/Main Folder/Sumit /Voice_editor/models/DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2026-02-12 18:15:06 | INFO     | DF | Running on device cpu
2026-02-12 18:15:06 | INFO     | DF | Model loaded
2026-02-12 18:17:04 | INFO     | DF | Running on torch 2.2.2
2026-02-12 18:17:04 | INFO     | DF | Running on host sumits-MacBook-Air.local
2026-02-12 18:17:04 | INFO     | DF | Git commit: d375b2d, branch: main
2026-02-12 18:17:04 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-02-12 18:17:04 | INFO     | DF | Initializing model `deepfilternet3`
2026-02-12 18:17:04 | INFO     | DF | Found checkpoint /Users/sumit/Downloads/untitled folder/Main Folder/Sumit /Voice_editor/models/DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2026-02-12 18:17:04 | INFO     | DF | Running on device cpu
2026-02-12 18:17:04 | INFO     | DF | Model loaded
2026-02-12 18:28:30 | INFO     | DF | Running on torch 2.2.2
2026-02-12 18:28:30 | INFO     | DF | Running on host sumits-MacBook-Air.local
2026-02-12 18:28:30 | INFO     | DF | Git commit: d375b2d, branch: main
2026-02-12 18:28:30 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-02-12 18:28:30 | INFO     | DF | Initializing model `deepfilternet3`
2026-02-12 18:28:30 | INFO     | DF | Found checkpoint /Users/sumit/Downloads/untitled folder/Main Folder/Sumit /Voice_editor/models/DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2026-02-12 18:28:30 | INFO     | DF | Running on device cpu
2026-02-12 18:28:30 | INFO     | DF | Model loaded
2026-02-12 22:03:04 | INFO     | DF | Running on torch 2.2.2
2026-02-12 22:03:04 | INFO     | DF | Running on host sumits-MacBook-Air.local
2026-02-12 22:03:04 | INFO     | DF | Git commit: d375b2d, branch: main
2026-02-12 22:03:04 | INFO     | DF | Loading model settings of DeepFilterNet3
2026-02-12 22:03:04 | INFO     | DF | Initializing model `deepfilternet3`
2026-02-12 22:03:04 | INFO     | DF | Found checkpoint /Users/sumit/Downloads/untitled folder/Main Folder/Sumit /Voice_editor/models/DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2026-02-12 22:03:04 | INFO     | DF | Running on device cpu
2026-02-12 22:03:04 | INFO     | DF | Model loaded
2026-02-12 22:11:12 | INFO     | DF | Running on torch 2.2.2
2026-02-12 22:11:12 | INFO     | DF | Running on host sumits-MacBook-Air.local
